# Dictionary for mapping between internal names and GRIB2 shortNames
# needed by GRIB2 read procedures.
#
# internal name     GRIB2 shortName
theta_v             THETA_V
rho                 DEN
ddt_tke_pconv       DTKE_CON
geopot              FI
z_ifc               HHL
vn                  VN
u                   U
v                   V
w                   W
tke                 TKE
temp                T
pres                P
pres_msl            PMSL
pres_sfc            PS
qv                  QV
qc                  QC
qi                  QI
qr                  QR
qs                  QS
t_g                 T_G
qv_s                QV_S
fr_seaice           FR_ICE
t_ice               T_ICE
h_ice               H_ICE
t_snow              T_SNOW
freshsnow           FRESHSNW
snowfrac_lc         SNOWC
w_snow              W_SNOW
rho_snow            RHO_SNOW
h_snow              H_SNOW
t_snow_mult         T_SNOW_M
rho_snow_mult       RHO_SNOW_M
wtot_snow           W_SNOW_M
wliq_snow           WLIQ_SNOW_M
dzh_snow            H_SNOW_M
w_i                 W_I
w_so                W_SO
w_so_ice            W_SO_ICE
smi                 SMI
t_so                T_SO
t_seasfc            T_SEA
gz0                 Z0
t_mnw_lk            T_MNW_LK
t_wml_lk            T_WML_LK
h_ml_lk             H_ML_LK
t_bot_lk            T_BOT_LK
c_t_lk              C_T_LK
t_b1_lk             T_B1_LK
h_b1_lk             H_B1_LK
rh                  RELHUM
rh_2m               RELHUM_2M
albdif              ALB_RAD
alb_si              ALB_SEAICE
asodifd_s           ASWDIFD_S
asodifu_s           ASWDIFU_S
asodird_s           ASWDIR_S
topography_c        HSURF
gust10              VMAX_10M
aer_ss              AER_SS
aer_or              AER_ORG
aer_bc              AER_BC
aer_su              AER_SO4
aer_du              AER_DUST
alb_si              ALB_SEAICE
